Title,Director,Type,My Rating,Average Rating,Date Watched,Date Added,Language,Genre,Status,URL
Salaam Bombay!,Mira Nair,Movie,4,4.0,4/3/2012,4/3/2012,Hindi,Drama,Watched,
The Untouchables,Brian De Palma,Movie,4,4.0,4/3/2012,4/3/2012,English,Crime,Watched,
Milk,Gus Van Sant,Movie,4,3.8,4/3/2012,4/3/2012,English,Biography,Watched,
Up in the Air,Jason Reitman,Movie,4,3.7,4/3/2012,4/3/2012,English,Comedy,Watched,
An Education,Lone Scherfig,Movie,4,3.7,4/3/2012,4/3/2012,English,Drama,Watched,
Animal Kingdom,David Michod,Movie,4,3.7,4/3/2012,4/3/2012,English,Crime,Watched,
The Italian Job,F. Gary Gray,Movie,4,3.5,4/3/2012,4/3/2012,English,"Thriller, Family",Watched,
Cop Land,James Mangold,Movie,4,3.5,4/3/2012,4/3/2012,English,Crime,Watched,
Bend It Like Beckham,Gurinder Chadha,Movie,4,3.4,4/3/2012,4/3/2012,Hindi,Sport,Watched,
Jaane Bhi Do Yaaro,Kundan Shah,Movie,5,4.3,4/3/2012,4/3/2012,Hindi,Comedy,Watched,
Chinatown,Roman Polanski,Movie,5,4.1,4/3/2012,4/3/2012,English,Thriller,Watched,
Ardh Satya,Govind Nihalani,Movie,5,4.1,4/3/2012,4/3/2012,Hindi,Drama,Watched,
The King's Speech,Tom Hooper,Movie,5,4.0,4/3/2012,4/3/2012,English,"Comedy, Family",Watched,
Entre les murs,Laurent Cantet,Movie,5,3.8,4/3/2012,4/3/2012,French,Drama,Watched,
Juno,Jason Reitman,Movie,5,3.8,4/3/2012,4/3/2012,English,"Comedy, Family",Watched,
The Descendants,Alexander Payne,Movie,5,3.7,4/3/2012,4/3/2012,English,Drama,Watched,
Carlito's Way,Brian De Palma,Movie,2,4.0,3/25/2012,3/25/2012,English,Crime,Watched,
Layer Cake,Matthew Vaughn,Movie,2,3.7,3/25/2012,3/25/2012,English,Thriller,Watched,
The Sixth Sense,M. Night Shyamalan,Movie,4,4.1,3/25/2012,3/25/2012,English,Thriller,Watched,
Hey Ram,Kamal Haasan,Movie,4,4.0,3/25/2012,3/25/2012,Hindi,History,Watched,
Crash,Paul Haggis,Movie,4,3.9,3/25/2012,3/25/2012,English,Drama,Watched,
Moneyball,Bennett Miller,Movie,4,3.8,3/25/2012,3/25/2012,English,Sport,Watched,
13 Assassins,Takashi Miike,Movie,4,3.8,3/25/2012,3/25/2012,Japanese,Drama,Watched,
The Devil's Advocate,Taylor Hackford,Movie,4,3.8,3/25/2012,3/25/2012,English,Thriller,Watched,
The Mummy Returns,Stephen Sommers,Movie,4,3.2,3/25/2012,3/25/2012,English,Fantasy,Watched,
The Bicycle Thief,Vittorio De Sica,Movie,5,4.2,3/25/2012,3/25/2012,English,Drama,Watched,
Brokeback Mountain,Ang Lee,Movie,5,3.9,3/25/2012,3/25/2012,English,Romance,Watched,
Baazigar,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",Movie,2,3.9,3/23/2012,3/23/2012,Hindi,Romance,Watched,
Taare Zameen Par,"Aamir Khan, Amole Gupte",Movie,4,4.2,3/23/2012,3/23/2012,Hindi,Drama,Watched,
A Wednesday,Neeraj Pandey,Movie,4,4.1,3/23/2012,3/23/2012,Hindi,Thriller,Watched,
Shutter Island,Martin Scorsese,Movie,4,4.1,3/23/2012,3/23/2012,English,Horror,Watched,
Beginners,Mike Mills,Movie,3,3.6,3/20/2012,3/20/2012,English,Comedy,Watched,
Analyze This,Harold Ramis,Movie,3,3.4,3/20/2012,3/20/2012,English,"Comedy, Family",Watched,
Office Space,Mike Judge,Movie,4,3.9,3/20/2012,3/20/2012,English,Comedy,Watched,
American Pie,"Paul Weitz, Chris Weitz",Movie,4,3.5,3/20/2012,3/20/2012,English,Comedy,Watched,
My Cousin Vinny,Jonathan Lynn,Movie,5,3.8,3/20/2012,3/20/2012,English,"Comedy, Family",Watched,
Brooklyn's Finest,Antoine Fuqua,Movie,4,3.4,3/19/2012,3/19/2012,English,Crime,Watched,
Andaz Apna Apna,Rajkumar Santoshi,Movie,4,4.1,3/12/2012,3/12/2012,English,Comedy,Watched,
About a Boy,"Paul Weitz, Chris Weitz",Movie,4,3.6,3/12/2012,3/12/2012,English,Comedy,Watched,
Scarface,Brian De Palma,Movie,2,4.2,3/11/2012,3/11/2012,English,Crime,Watched,
Cape Fear,Martin Scorsese,Movie,3,3.7,3/11/2012,3/11/2012,English,Thriller,Watched,
Se7en,David Fincher,Movie,4,4.3,3/11/2012,3/11/2012,English,Thriller,Watched,
Heat,Michael Mann,Movie,4,4.1,3/11/2012,3/11/2012,English,Thriller,Watched,
Sleepers,Barry Levinson,Movie,4,3.8,3/11/2012,3/11/2012,English,Thriller,Watched,
The Trip,Michael Winterbottom,Movie,4,3.5,3/11/2012,3/11/2012,English,Comedy,Watched,
The Godfather,Francis Ford Coppola,Movie,5,4.6,3/11/2012,3/11/2012,English,Crime,Watched,
Donnie Brasco,Mike Newell,Movie,5,3.9,3/11/2012,3/11/2012,English,Biography,Watched,
Sin nombre,Cary Joji Fukunaga,Movie,5,3.8,3/11/2012,3/11/2012,Spanish,Drama,Watched,
Collateral,Michael Mann,Movie,5,3.8,3/11/2012,3/11/2012,English,Thriller,Watched,
Bheja Fry,Sagar Ballary,Movie,1,3.9,3/6/2012,3/6/2012,Hindi,Comedy,Watched,
The Royal Tenenbaums,Wes Anderson,Movie,2,3.8,3/6/2012,3/6/2012,English,Comedy,Watched,
Raajneeti,Prakash Jha,Movie,2,3.6,3/6/2012,3/6/2012,Hindi,Crime,Watched,
Gladiator,Ridley Scott,Movie,3,4.3,3/6/2012,3/6/2012,English,Drama,Watched,
Rang De Basanti,Rakeysh Omprakash Mehra,Movie,3,4.1,3/6/2012,3/6/2012,Hindi,Drama,Watched,
